Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (J/mole-K),Addenda HC Err (J/mole-K),Total HC (J/mole-K),Total HC Err (J/mole-K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (J/mole-K)
3926782.33,,5905,,123.43,-0.305,9.2E-6,124.38902,2.3673091,296.09548,1.701,3357.4658,3.829,8990.6171,12.58,0.25129416,103.76709,7.1738965,71.061536,230.0103,5.499,1,,,,0.00010172,203.7867,15472.628,2.3803989,0
3928320.41,,5905,,117.362,-0.305,9.2E-6,118.28828,2.2554898,291.00247,1.706,3078.8784,3.485,8615.1363,13.96,0.43895938,105.54567,7.3067539,69.971554,230.37779,5.189,1,,,,9.7393E-5,207.5342,13992.117,2.4601124,0
3929868.36,,5905,,111.592,-0.305,9.2E-6,112.48223,2.1559248,285.78119,1.719,2818.0467,3.186,8254.9708,15.55,0.64774384,106.89709,7.2543228,69.416181,230.14306,4.935,1,,,,9.3301E-5,211.0913,12652.252,2.5406785,0
3931428.42,,5905,,106.107,-0.305,9.2E-6,106.95826,2.0483686,280.65835,1.743,2577.1859,2.986,7916.6492,17.38,0.97472529,108.50768,7.2578464,68.540219,228.95261,4.736,1,,,,8.9556E-5,213.7942,11440.069,2.6239989,0
3933000.98,,5905,,100.89,-0.305,9.4E-6,101.7106,1.9546434,275.43942,1.77,2357.0709,2.776,7597.2451,19.1,1.4556477,109.69987,7.1420231,68.005523,227.34382,4.544,1,,,,8.6121E-5,217.0154,10345.045,2.70807,0
3934589.23,,5905,,95.9291,-0.305,9.1E-6,96.721161,1.8591662,270.44533,1.812,2156.3045,2.531,7301.4674,21.15,2.2457816,110.86911,6.9857639,67.580839,224.82212,4.403,1,,,,8.2896E-5,219.3997,9354.983,2.7961341,0
3936232.58,,5905,,91.213,-0.305,9.1E-6,92.009196,1.7631994,265.56643,1.814,1972.4874,2.35,7024.8304,21.82,4.0728797,111.66215,6.6776002,67.837659,221.79775,4.159,1,,,,7.9603E-5,221.7382,8465.6922,2.8863032,0
3937877.56,,5905,,86.724,-0.305,9.2E-6,87.548749,1.6888952,260.08466,1.831,1803.365,2.261,6751.4183,22.97,4.6356838,112.05014,6.370225,68.028905,219.43927,3.968,1,,,,7.6649E-5,223.3243,7664.7834,2.970741,0
3939497.41,,5905,,82.4674,-0.305,9.3E-6,83.27577,1.6224968,253.95142,1.846,1647.4809,2.175,6478.8507,24.08,4.3471728,112.06259,6.0456633,68.303055,217.58859,3.781,1,,,,7.3838E-5,224.1003,6934.8539,3.0495235,0
3941113.22,,5905,,78.4037,-0.305,9.2E-6,79.181438,1.5455824,247.83117,1.85,1504.8167,2.045,6219.7501,24.82,5.8713655,112.18112,5.7529127,68.473256,215.24662,3.586,1,,,,7.1147E-5,224.1252,6269.7001,3.1299149,0
3942629.11,,5905,,74.5518,-0.305,9.4E-6,75.291964,1.468947,241.13472,1.87,1375.4692,1.914,5963.0042,26.01,3.0116238,111.44158,5.4247769,68.765889,213.33738,3.436,1,,,,6.8854E-5,224.3622,5668.8798,3.2026621,0
3944125.86,,5905,,70.8921,-0.305,9.2E-6,71.591055,1.3994156,234.89676,1.868,1258.0954,1.809,5726.9544,26.54,3.78029,111.11419,5.1071115,69.220127,210.51897,3.261,1,,,,6.6374E-5,222.8832,5125.2791,3.2810909,0
3945623.91,,5905,,67.3987,-0.305,9.2E-6,68.067052,1.3325384,228.38724,1.852,1151.3522,1.709,5496.3692,26.71,5.7127211,110.83737,4.8219389,69.613587,207.77753,3.078,1,,,,6.392E-5,222.2284,4633.1236,3.3553274,0
3947118.25,,5905,,64.09,-0.305,9.2E-6,64.717874,1.2733956,221.95757,1.838,1054.6084,1.601,5277.3023,26.89,8.4593271,110.4393,4.5380299,70.099451,204.74109,2.912,1,,,,6.1564E-5,221.6747,4188.4032,3.4296178,0
3948598.16,,5905,,60.9339,-0.305,9.4E-6,61.537261,1.2179731,215.23434,1.808,966.96542,1.491,5061.7513,26.71,12.949844,109.59463,4.2509038,70.673161,201.87214,2.742,1,,,,5.9387E-5,220.8786,3786.8344,3.4976263,0
3949960.02,,5905,,57.9439,-0.305,9.1E-6,58.515628,1.159653,207.96963,1.795,887.51628,1.391,4844.0927,26.97,5.2184322,108.37397,3.9978731,71.067247,199.42169,2.61,1,,,,5.7442E-5,219.1893,3424.0788,3.5540869,0
3951307.03,,5905,,55.0919,-0.305,9.3E-6,55.639555,1.1048992,200.86552,1.758,815.17548,1.311,4636.5977,26.63,7.1079126,107.16554,3.7415317,71.65642,196.64546,2.459,1,,,,5.5435E-5,216.7479,3095.76,3.6101209,0
3952641.44,,5905,,52.3919,-0.305,9.3E-6,52.900971,1.0528311,193.84592,1.707,749.01955,1.258,4436.8955,25.96,10.866268,106.22326,3.513876,72.213045,193.66562,2.306,1,,,,5.3364E-5,214.3311,2798.5127,3.6643169,0
3953968.13,,5905,,49.8077,-0.305,9.2E-6,50.298888,1.007476,186.5358,1.64,688.78424,1.224,4237.5867,24.93,17.26041,104.77605,3.27504,72.946094,190.89146,2.148,1,,,,5.1399E-5,212.4465,2529.9782,3.7085471,0
3955277.05,,5905,,47.3611,-0.305,9.2E-6,47.821553,0.9608493,179.23991,1.57,633.9255,1.196,4043.9254,23.82,21.892119,103.26715,3.0510648,73.698379,188.03119,1.999,1,,,,4.9483E-5,209.5521,2286.9009,3.7480989,0
3956463.88,,5905,,45.0342,-0.305,9.2E-6,45.472871,0.9171236,171.58644,1.501,583.6329,1.143,3848.0271,22.74,5.1745854,101.01959,2.8273683,74.45401,185.48175,1.865,1,,,,4.784E-5,206.5343,2067.782,3.7733803,0
3957691.16,,5905,,42.8167,-0.305,9.2E-6,43.236301,0.88020451,164.29996,1.419,536.88521,1.045,3662.6557,21.35,23.228963,99.919974,2.6687527,74.915647,182.57802,1.726,1,,,,4.5904E-5,202.0392,1869.3778,3.8000465,0
3958811.61,,5905,,40.7167,-0.305,9.2E-6,41.112407,0.84296193,156.64183,1.33,493.85708,0.9656,3473.9334,19.78,6.1208683,97.737705,2.4605531,75.852071,180.01867,1.591,1,,,,4.4139E-5,199.8399,1690.23,3.8100866,0
3959909.45,,5905,,38.7147,-0.305,9.3E-6,39.086163,0.80330301,149.24643,1.244,454.85228,0.9634,3294.2327,18.28,9.5182984,95.609751,2.2700574,76.769289,177.23227,1.468,1,,,,4.2434E-5,195.4754,1527.7282,3.8183955,0
3960990.83,,5905,,36.8102,-0.305,9.3E-6,37.158128,0.76400156,141.88831,1.166,419.09773,0.9685,3118.4916,16.98,18.020086,93.452972,2.099772,77.604836,174.46449,1.362,1,,,,4.0789E-5,191.2195,1380.7264,3.8185001,0
3962051.61,,5905,,34.998,-0.305,9.1E-6,35.328822,0.72832952,134.85802,1.083,385.60052,0.8893,2951.2447,15.5,25.738668,91.494013,1.9312185,78.568369,171.52249,1.254,1,,,,3.908E-5,186.9059,1248.1256,3.8172239,0
3962948.92,,5905,,35.0014,-0.305,9.2E-6,35.289234,0.64893798,134.81966,1.18,384.96052,0.887,2949.8749,17.89,24.292705,90.816989,1.9233396,78.45086,171.36172,1.355,1,,,,3.9405E-5,161.9595,1245.3301,3.820419,0
3963840.16,,5905,,34.251,-0.305,9.4E-6,34.559782,0.69245023,131.63221,1.056,371.5994,0.8353,2875.8731,15.1,40.318502,90.294881,1.8576522,78.959873,170.40171,1.22,1,,,,3.8449E-5,181.634,1194.3785,3.8088263,0
3964724.67,,5905,,33.499,-0.305,9.1E-6,33.8009,0.68141153,128.44086,1.017,357.91254,0.7808,2801.4715,14.4,29.221476,89.2685,1.7857788,79.397364,169.23994,1.174,1,,,,3.7731E-5,180.5898,1142.5008,3.7999242,0
3965599.78,,5905,,32.7505,-0.305,9.1E-6,33.044619,0.66728764,125.40494,0.9829,344.42832,0.7325,2730.2298,13.8,54.624307,88.449425,1.7187979,79.817298,167.90191,1.132,1,,,,3.697E-5,178.537,1091.9468,3.7950187,0
3966470.06,,5905,,32.0023,-0.305,9.3E-6,32.285639,0.65542637,122.01002,0.9523,331.0836,0.6961,2652.2973,13.32,286.78849,87.60046,1.6627981,80.142345,166.78014,1.098,1,,,,3.6157E-5,176.8988,1042.3625,3.7790801,0
3967245.27,,5905,,31.2508,-0.305,9.1E-6,31.529199,0.64105874,118.52296,0.9208,317.95246,0.6719,2572.8256,12.83,7.0365358,86.006821,1.5964676,80.44593,165.68363,1.063,1,,,,3.5626E-5,175.2009,994.0904,3.759149,0
3968008.63,,5905,,30.5001,-0.305,9.1E-6,30.769974,0.6248251,115.09735,0.8845,305.01224,0.658,2494.7139,12.2,8.6513778,84.707811,1.5243893,80.926326,164.45922,1.023,1,,,,3.4915E-5,172.0136,946.79128,3.7405734,0
3968761.88,,5905,,29.751,-0.305,9.1E-6,30.010552,0.60969225,111.70567,0.8509,292.3083,0.6528,2417.4841,11.65,5.058834,83.387117,1.4548008,81.385439,163.14232,0.9865,1,,,,3.4223E-5,169.4156,900.63322,3.7222133,0
3969507.39,,5905,,29.0006,-0.305,9.2E-6,29.25298,0.59520956,108.30529,0.8124,279.88061,0.6544,2340.3649,10.96,7.0369165,82.293498,1.3888212,81.879762,161.77881,0.9445,1,,,,3.3416E-5,166.7742,855.73685,3.7023678,0
3970246.41,,5905,,28.2499,-0.305,9.3E-6,28.495041,0.58110608,104.86026,0.7753,267.66311,0.6582,2262.6065,10.3,7.9136091,81.043366,1.3224642,82.371083,160.38618,0.9047,1,,,,3.2654E-5,164.587,811.96736,3.6799477,0
3970973.97,,5905,,27.5008,-0.305,9.2E-6,27.736847,0.5666538,101.31165,0.7409,255.60297,0.658,2183.0348,9.73,6.968921,79.715762,1.2569837,82.869075,159.01404,0.8691,1,,,,3.1881E-5,162.0867,769.33268,3.6526016,0
3971691.72,,5905,,26.7513,-0.305,9.3E-6,26.979387,0.55199763,97.818668,0.7045,243.63578,0.6473,2104.6144,9.094,8.7439909,78.403715,1.1917892,83.37752,157.53676,0.8308,1,,,,3.1103E-5,159.4315,727.88732,3.6256816,0
3972401.7,,5905,,25.9991,-0.305,9.3E-6,26.223019,0.53647548,94.240005,0.6674,231.72485,0.6208,2024.6202,8.438,22.887694,77.032048,1.126691,83.902713,156.07416,0.7923,1,,,,3.0305E-5,156.8074,687.6467,3.5937894,0
3973102,,5905,,25.2496,-0.305,9.3E-6,25.464776,0.5217237,90.683128,0.6341,219.8236,0.581,1945.0501,7.887,8.8519449,75.685084,1.0625654,84.431216,154.51943,0.7584,1,,,,2.9489E-5,154.0641,648.4548,3.5611202,0
3973794.88,,5905,,24.5,-0.305,9.4E-6,24.709015,0.50688037,86.966639,0.5973,208.01795,0.5342,1862.5391,7.246,4.4750547,73.933423,0.99699208,84.94069,153.05392,0.7214,1,,,,2.8772E-5,151.3702,610.53541,3.519632,0
3974474.36,,5905,,23.7507,-0.305,9.3E-6,23.951462,0.49087754,83.252659,0.5647,196.29629,0.4867,1780.1598,6.722,2.7377654,72.264903,0.93181067,85.491258,151.51616,0.6897,1,,,,2.7992E-5,147.8668,573.67252,3.4758905,0
3975142.06,,5905,,23.0022,-0.305,9.2E-6,23.195568,0.47613124,79.561453,0.5293,184.77427,0.4439,1698.4134,6.105,3.8130338,70.949712,0.87042569,86.08675,149.91088,0.6537,1,,,,2.7054E-5,144.5298,538.03437,3.4300282,0
3975800.19,,5905,,22.2511,-0.305,9.2E-6,22.437629,0.4626675,75.431831,0.4945,173.45106,0.4086,1608.525,5.556,5.859085,68.809311,0.80779167,86.633321,148.62857,0.6226,1,,,,2.6286E-5,141.8994,503.44718,3.361845,0
3976441.77,,5905,,21.4994,-0.305,9.1E-6,21.677237,0.44568924,71.967953,0.4625,162.4648,0.3841,1531.6393,4.993,461.84977,67.787149,0.75169862,87.23968,146.6792,0.5881,1,,,,2.5269E-5,137.6186,469.90261,3.3199781,0
3977078.8,,5905,,20.7479,-0.305,9.3E-6,20.91762,0.43376904,68.529132,0.4327,151.88181,0.3701,1455.6335,4.491,66.126349,67.103522,0.69939175,87.88234,144.65042,0.5563,1,,,,2.412E-5,135.5743,437.54681,3.2761439,0
3977706.47,,5905,,20.0015,-0.305,9.2E-6,20.160648,0.42036319,64.853254,0.4014,141.60006,0.3582,1375.4189,3.961,15.831496,64.878613,0.64089754,88.419173,142.80396,0.5239,1,,,,2.3459E-5,134.207,406.45173,3.2168238,0
3978319.5,,5905,,19.2502,-0.305,9.4E-6,19.402714,0.40350482,61.026148,0.3734,131.46877,0.3386,1292.4778,3.566,6.4957113,63.030273,0.5866039,89.017415,141.04951,0.4986,1,,,,2.2568E-5,129.7572,376.46529,3.1452378,0
3978921.13,,5905,,18.4998,-0.305,9.2E-6,18.646824,0.38790374,57.281796,0.3467,121.48156,0.3089,1211.2551,3.202,1.7951113,61.107351,0.53431289,89.591629,139.19153,0.4746,1,,,,2.1704E-5,126.0605,347.70405,3.0719331,0
3979510.48,,5905,,17.7505,-0.305,9.3E-6,17.888042,0.37146706,53.627207,0.3196,111.71231,0.2785,1131.9581,2.797,1.3738434,59.282906,0.4826474,90.208955,137.18554,0.4478,1,,,,2.0793E-5,122.2147,319.98203,2.9979362,0
3980083.55,,5905,,17.0003,-0.305,9.1E-6,17.131806,0.35656856,49.906734,0.2941,102.35702,0.2569,1051.8216,2.463,1.5777268,57.444696,0.435055,90.815156,135.23896,0.4249,1,,,,1.9832E-5,118.5658,293.49878,2.913104,0
3980646.03,,5905,,16.2499,-0.305,9.2E-6,16.372642,0.34107468,46.259422,0.2693,93.335148,0.2404,973.41046,2.137,1.8134037,55.599131,0.39011925,91.411877,133.1721,0.4019,1,,,,1.8862E-5,114.8894,268.06341,2.8254097,0
3981194.2,,5905,,15.4989,-0.305,9.2E-6,15.616395,0.32557725,42.732221,0.246,84.654651,0.2199,897.62575,1.845,1.0728463,53.735907,0.34837822,91.976504,130.98037,0.3802,1,,,,1.7908E-5,111.1983,243.87178,2.7363692,0
3981729.09,,5905,,14.7497,-0.305,9.1E-6,14.858603,0.31068256,39.132307,0.2234,76.24445,0.1948,820.72796,1.594,0.72048115,51.641856,0.3066838,92.580877,128.86325,0.361,1,,,,1.6947E-5,107.4718,220.7781,2.6336463,0
3982250.42,,5905,,14.0001,-0.305,9.3E-6,14.099467,0.29417488,35.679527,0.2017,68.17831,0.1741,746.97345,1.351,0.98152401,49.617171,0.26963489,93.127436,126.56986,0.3415,1,,,,1.5978E-5,103.2837,198.79497,2.5305585,0
3982757.38,,5905,,13.2507,-0.305,9.3E-6,13.341597,0.27900577,32.251746,0.1805,60.529815,0.1599,674.11217,1.118,1.3564111,47.573459,0.23542984,93.671917,124.29064,0.3223,1,,,,1.4967E-5,99.23434,177.99822,2.4173826,0
3983248.63,,5905,,12.5002,-0.305,9.3E-6,12.584423,0.26343013,28.93206,0.161,53.310549,0.1441,603.73662,0.9489,0.92921552,45.341095,0.20385641,94.183364,121.92842,0.3069,1,,,,1.4002E-5,95.14692,158.36771,2.2990375,0
3983725,,5905,,11.7498,-0.305,9.1E-6,11.827614,0.24739071,25.734368,0.1425,46.483242,0.123,536.07393,0.8018,1.1306535,43.054155,0.17456644,94.685589,119.47341,0.2928,1,,,,1.3037E-5,90.68219,139.89246,2.1757869,0
3984185.14,,5905,,11.0007,-0.305,9.2E-6,11.071005,0.2317716,22.582495,0.1244,39.990761,0.09902,469.61775,0.6612,1.5444688,40.655761,0.14946498,95.115783,117.07847,0.2791,1,,,,1.2049E-5,86.10831,122.56716,2.0397872,0
3984628.33,,5905,,10.25,-0.305,9.1E-6,10.313309,0.21647173,19.565768,0.1074,33.944835,0.07912,406.17926,0.5475,14.932905,38.221772,0.1248271,95.601044,114.6234,0.2674,1,,,,1.1039E-5,81.31152,106.36434,1.8971377,0
3985054.34,,5905,,9.5009,-0.305,9.3E-6,9.5554121,0.20156681,16.725686,0.09224,28.427771,0.06861,346.63025,0.495,12.990871,35.943924,0.10528766,95.997014,112.06712,0.2621,1,,,,9.9835E-6,76.44354,91.3059,1.7503887,0
3985466.14,,5905,,8.7497,-0.305,9.2E-6,8.7979879,0.18780879,14.026022,0.07785,23.318452,0.0633,290.16042,0.4473,2.0757449,33.545049,0.089076114,96.311101,109.54347,0.2585,1,,,,8.9308E-6,71.88785,77.404591,1.5942306,0
3985859.64,,5905,,8.0001,-0.305,9.3E-6,8.042448,0.1737092,11.45329,0.06422,18.694166,0.04661,236.59049,0.4043,0.48037735,30.366342,0.071397412,96.691534,107.21958,0.2578,1,,,,8.0179E-6,67.0901,64.68097,1.424105,0
3986231.44,,5905,,7.251,-0.305,9.3E-6,7.2864091,0.1581142,9.0837494,0.05085,14.495573,0.03627,187.3119,0.316,1.4839762,27.103632,0.057955783,96.938256,104.99541,0.2504,1,,,,7.0972E-6,60.73268,53.091758,1.2466702,0
3986888.91,,5905,,6.5011,-0.305,9.1E-6,6.4958154,0.14105511,6.7639573,0.03934,10.644942,0.02333,139.32774,0.3106,0.42886188,21.738038,0.034938602,97.683993,103.29972,0.2658,1,,,,6.5392E-6,54.20726,42.195618,1.0412792,0
3987283.09,,5905,,5.751,-0.305,9.2E-6,5.7269252,0.12178567,4.9347584,0.02771,7.5174042,0.02355,101.4001,0.1763,0.9144898,19.13662,0.0308215,97.612352,101.17554,0.242,1,,,,5.41E-6,43.47608,32.797672,0.86167677,0
3987572.19,,5905,,4.9999,-0.305,9.2E-6,4.9710347,0.1109508,3.3256544,0.02067,5.0880864,0.01137,68.357928,0.2063,0.32013725,15.35796,0.022049873,97.88372,100.17111,0.2854,1,,,,4.5335E-6,38.27324,24.711186,0.66900647,0
3987971.2,,5905,,4.2481,-0.305,9.2E-6,4.235561,0.084286473,2.1135535,0.01182,3.1848628,0.00746,43.394752,0.07283,25.98587,11.910346,0.018536881,97.672143,99.272714,0.2352,1,,,,3.7181E-6,23.50396,17.939977,0.49900201,0
