Time (s),VTI Temp (K),Probe Temp (K),Sample Temp (K),Field (Oe),Thermal Conductivity (W/m/K),DeltaV_Nernst (V),DeltaT (K),DeltaT1 (K),DeltaT2 (K),Heater_Curr (A),Heater_Resis (ohm),Heater Power (W),Sample T Heating (K)
3839884184,138.169266,139.999756,139.667648,300,0.267202487,0,1.313775586,-0.476220975,0.837554611,0.000884025,1001.255527,0.000782482,139.667648
3839885174,138.084686,139.999619,139.659271,300,0.255962083,0,1.458080232,-0.512239465,0.945840767,0.000911491,1001.301707,0.000831897,139.659271
3839889055,118.140022,119.997978,119.776764,300,0.244709436,0,1.462668212,-0.586342233,0.87632598,0.000892059,1002.586885,0.000797828,119.776764
3839890233,117.942154,119.998482,119.754044,300,0.255060021,0,1.148962898,-0.552423223,0.596539675,0.000807204,1002.522435,0.000653222,119.754044
3839891264,117.852753,119.999626,119.743881,300,0.247543736,0,1.233906226,-0.578778108,0.655128119,0.000824082,1002.549251,0.000680842,119.743881
3839895281,98.428596,99.998505,99.819275,300,0.248597083,0,1.194625802,-0.665840774,0.528785028,0.000811809,1004.460078,0.000661973,99.819275
3839896425,98.323631,99.999634,99.807388,300,0.25523995,0,0.972156359,-0.650974962,0.321181397,0.000742054,1004.444707,0.000553092,99.807388
3839897430,98.278679,100.000198,99.802002,300,0.250710109,0,1.016127046,-0.661174599,0.354952447,0.00075188,1004.465551,0.000567848,99.802002
3839901287,78.722198,79.999542,79.901642,300,0.261417337,0,0.960077379,-0.778017533,0.182059845,0.000745158,1007.526026,0.00055944,79.901642
3839902301,78.675339,79.999695,79.897316,300,0.264831603,0,0.78871565,-0.772362166,0.016353483,0.000679789,1007.521821,0.000465589,79.897316
3839903296,78.65654,80.000122,79.89537,300,0.2621225,0,0.807254394,-0.777988626,0.029265768,0.000684203,1007.529588,0.000471658,79.89537
3839907067,58.890041,60.000317,60.003735,300,0.291671028,0,0.721809797,-0.962898171,-0.241088374,0.000680686,1012.826032,0.000469276,60.003735
3839907956,58.908268,60.000278,60.00539,300,0.292311468,0,0.598810384,-0.964364366,-0.365553982,0.000620641,1012.898841,0.000390164,60.00539
3839908899,58.922832,60.000328,60.006798,300,0.292198444,0,0.600339073,-0.964017633,-0.36367856,0.000621308,1012.916461,0.000391009,60.006798
3839911986,39.209511,40.00079,40.064568,300,0.389943972,0,0.45444193,-1.340916695,-0.886474765,0.000621187,1023.642554,0.000394996,40.064568
3839912757,39.239563,40.000008,40.066742,300,0.389405255,0,0.40127592,-1.343849688,-0.942573768,0.000583291,1023.731911,0.000348303,40.066742
3839913602,39.256588,40.000259,40.06813,300,0.388470523,0,0.401668794,-1.344366486,-0.942697692,0.000582873,1023.743929,0.000347807,40.06813
3839917667,19.566086,20.000156,20.056189,300,0.825448306,0,0.194313392,-2.447018898,-2.252705506,0.000582177,1054.859053,0.000357524,20.056189
3839918314,19.562807,20.000017,20.056078,300,0.845357622,0,0.195860481,-2.44477465,-2.248914169,0.000591516,1054.790889,0.000369062,20.056078
3839919086,19.563465,20.00017,20.056458,300,0.847846366,0,0.20000259,-2.444857275,-2.244854685,0.000598628,1054.753818,0.000377977,20.056458
3839922088,9.782457,9.999712,10.011298,300,1.909899635,0,0.093505818,-4.47928465,-4.385778832,0.000599519,1107.531507,0.000398072,10.011298
3839922837,9.776124,9.999722,10.010719,300,1.914404406,0,0.099943945,-4.480664409,-4.380720465,0.000620635,1107.211398,0.000426484,10.010719
3839923587,9.774863,10.000249,10.010918,300,1.933078362,0,0.099241639,-4.473570108,-4.374328469,0.000621459,1107.21401,0.000427618,10.010918
3839927934,4.938959,4.99912,5.006729,300,1.493725906,0,0.137454419,-8.431220113,-8.293765694,0.00062447,1173.595978,0.000457659,5.006729
3839928684,4.936148,4.999287,5.006573,300,1.600254558,0,0.04769189,-8.429161454,-8.381469564,0.000377968,1190.790447,0.000170116,5.006573
3839929434,4.93403,4.998827,5.006059,300,1.204077283,0,0.066649897,-8.434491488,-8.367841591,0.000387688,1190.151999,0.000178882,5.006059
3839940809,314.589508,320.003693,317.515259,300,0.528650352,0,0.095744132,-0.350258343,-0.254514211,0.000336431,996.7872586,0.000112822,317.515259
3839941779,314.546692,320.000244,317.55838,300,0.599114134,0,2.798767109,-0.342146766,2.456620343,0.001937406,995.743868,0.003737566,317.55838
3839943053,314.51239,320.000854,317.752991,300,0.572745847,0,3.324027885,-0.332031753,2.991996133,0.002064277,995.8713374,0.004243646,317.752991
